Order,Assignment,Unit,Points,Link,Purple highlights have instructional videos
142,Number Puzzles III: Armstrong Numbers,Nested Loops,90,https://docs.google.com/document/d/1T9nTd0SOiuy1_hfumFK_ENtcv1CYeS6iYJ-o3b-JFCE/edit?usp=sharing,
143,Number Puzzles IV: A New Hope,Nested Loops,90,https://docs.google.com/document/d/14cDfQU2uQge99y2mP6lwwPboghbZAQPu7ngsLRbI2yI/edit?usp=sharing,
144,Programs that Write to Files,File Input and Output,10,https://docs.google.com/document/d/1b6mDIEupNfWR6_6kwaQxY2tAmU6Bcr1Lpz_KRryT3C4/edit?usp=sharing,
145,Getting ALL the Data from a File,File Input and Output,10,https://drive.google.com/open?id=1zZjEqAVa5o17ZmknPdVSUAvPUO8xsnUbI0djU6S9QJU,
146,Saving a High Score,File Input and Output,10,https://docs.google.com/document/d/1FiQwM4AeHJ7aLj-CEUwkheVswJh7Vn-EO2Fh7_YW1Bc/edit?usp=sharing,
147,Caesar Cipher (Looping Through a String),File Input and Output,30,https://docs.google.com/document/d/10a3FlZ60rNacbDdrVj0eh_u6zx3-L-3P4kALu0pocMs/edit?usp=sharing,
148,Letter Revisited,File Input and Output,40,https://docs.google.com/document/d/1XVU3eYMknHFNaTSXtt9Fe4AM8DA9_lW_rLnRXxpZ4Ug/edit?usp=sharing,
149,High Score,File Input and Output,50,https://docs.google.com/document/d/1QyMZZf5LPJAlpRMCOSog38ZzhOvs5TzeZD0qT6ywmeg/edit?usp=sharing,
150,Simple File Input,File Input and Output,40,https://docs.google.com/document/d/1HtafdLbNKSfqmP4q5SRJiN8LdeaVDZAuhTAKlGUQJH8/edit?usp=sharing,
151,Summing Three Numbers from a File,File Input and Output,50,https://drive.google.com/open?id=1zc5XdlTZaErMP87P2wo2gLyM59nnVHRaZQ4oyYyWaps,
152,Summing Three Numbers from Any File,File Input and Output,65,https://drive.google.com/open?id=1lTWC51gAdUU8kiZbMxBJI-ZINkzDYBnHNIH3K42_E5E,
153,Displaying a File,File Input and Output,60,https://drive.google.com/open?id=1lUlqftn2Cj6F7HfzAz1c2jejG_QK5objkH2iIMgHuCo,
154,Summing Several Numbers from Any File,File Input and Output,60,https://drive.google.com/open?id=1JFAueT10NIkmMTtxD-BYphfQcXPZw3lCshVwOsxDKlk,
155,Simple Web Input,File Input and Output,15,https://drive.google.com/open?id=1Q0kYBhRiG-PMFrwjre_-8bATg-uxTmxO9qm6fcJk0Mk,
156,Vowel Capitalization,File Input and Output,80,https://docs.google.com/document/d/1AccvE4UOLhcvgK_3xa8I-AhLK-NgEFnM_iDKzdU6ecs/edit?usp=sharing,
157,Arrays - Many Values in a Single Variabl,Arrays,10,https://docs.google.com/document/d/1Zq2Ipv7REW4X1uMC7DK9DlZb0vL526i6sq7K3LRL3-Q/edit?usp=sharing,
158,Finding Things in an Array,Arrays,10,https://docs.google.com/document/d/18kIoK7g-fhaeYYM1d_Fi7per-APfDa7t-yztzmrtsoM/edit?usp=sharing,
159,Saying Something Is Not in an Array,Arrays,10,https://drive.google.com/open?id=1Fxet1zzmzDcIlgtJ3ap2s_4950b4gi3j0n1c8F6tNdo,
160,Arrays Without Foreach Loops,Arrays,10,https://docs.google.com/document/d/1DfjTlI4zvkf7U21hkBcCznX3WQJ32L8eUUwPHkd9qqU/edit?usp=sharing,
161,Basic Arrays 0,Arrays,20,https://docs.google.com/document/d/1_tfXpo8ZCBWMTx5JDbXqu8K8LybhDGOBEHi6tHWc2bk/edit?usp=sharing,
162,Basic Arrays 1,Arrays,30,https://docs.google.com/document/d/13hGJthE6cDtrlc7G5N8_O9ILfTQ-sboWCuRhgbs-KYc/edit?usp=sharing,
163,Basic Arrays 2,Arrays,40,https://drive.google.com/open?id=1N3-p2ComxTYvRa3sPibeztFcapN94ZKjMKm3r1pXkYU,
164,Basic Arrays 3,Arrays,25,https://docs.google.com/document/d/1jS7Z7O5NuIMU4tsm2q4_-TeVMB3pO54n00En6h6tnI0/edit?usp=sharing,
165,Copying Arrays,Arrays,55,https://docs.google.com/document/d/1vPzgGV4XGKXCxQW7yL8SLMdclHqGAleSoc5WNEbXyLY/edit?usp=sharing,
166,Grades in an Array and a File,Arrays,90,https://docs.google.com/document/d/1cO8fMtB7XUZMGeM2vwpYNG6aNLZODF4GHDBfeX5Jvxo/edit?usp=sharing,
167,Finding a Value in an Array,Arrays,80,https://docs.google.com/document/d/1mMDQUkEjQnDROGrfia3FKk6V9IgE6BcmSAIC-8vqTfE/edit?usp=sharing,
168,How Many Times?,Arrays,40,https://docs.google.com/document/d/168w6nZKJxyXxRtdDpNiltH8eRNEfiW9oG3Ll8YeSIcI/edit?usp=sharing,
